Nº;MES;DIRIGIDA A;TIPO;DETALLE;;;;;;;;;;;;;;;;;;;;;;;
48;2;GESTION INTERNA;RECLAMO;"he tenido problemas por 1ra vez este año para el sellado de un contrato de locaciòn con el estado (municipalidad de guaymallen) me envìan x email con el siguiente mensaje que no lo considero claro: ""se genero la tarea observa: tema: solicitud de sellado del trámite: ee-4076-2021 genus, que deberá ser resuelta por usted"". a continuación intenté resolverlo pero fracasé, con lo cual luego de casi 1 mes lo vuelvo a realizar (pd: en principio pensè que el error mìo fue haber adjuntado archivos .jpg. entonces dìas despuès de deducir esto adjuntè los mismos documentos en .pdf pero al dìa de hoy aparece el mismo cartel de observa. por lo tanto he resuelto empezar desde cero con el mismo trámite. slds cordiales";;;;;;;;;;;;;;;;;;;;;;;
49;2;SISTEMAS;RECLAMO;el instructivo de la pagina de sellados es incompleto o responde a una pagina que ya ha sido cambiada;;;;;;;;;;;;;;;;;;;;;;;
50;2;SISTEMAS;SUGERENCIA;quisiera recibir los boletos por mail;;;;;;;;;;;;;;;;;;;;;;;
51;2;ATENCION CONTRIBUYENTE;RECLAMO;informar telefonos habilitados para catastro  y avaluos para sellos para consultas urgentes ya que el tramite on line demora varios dias  tel 148  interno 1 siempre esta ocupado ;;;;;;;;;;;;;;;;;;;;;;;
52;2;FISCALIZACION;RECLAMO;"una vez que el expediente queda en manos del inspector, ya no se puede agregar nada por cuanto el expediente puede ""dormir"" sin que se nos brinde una respuesta.";;;;;;;;;;;;;;;;;;;;;;;
53;2;SISTEMAS;SUGERENCIA;cuesta mucho encontrar lo que se busca, debería ser más clara y accesible la página;;;;;;;;;;;;;;;;;;;;;;;
54;2;CATASTRO;RECLAMO;muy costoso consegui las certificaciones;;;;;;;;;;;;;;;;;;;;;;;
55;2;;VARIOS;mi trámite fue cursado tal que no sé si será resuelto  y la pregunta 4 no lo prevé. por eso indico nada satisfactoria;;;;;;;;;;;;;;;;;;;;;;;
56;2;SISTEMAS;RECLAMO;no es posible la comunicación de pasos a seguir o requisitos de tramites.;;;;;;;;;;;;;;;;;;;;;;;
57;2;SISTEMAS;QUEJA;que porfavor revisen sus registros por que figuran deudas que no existen;;;;;;;;;;;;;;;;;;;;;;;
58;2;GESTION INTERNA;QUEJA;son unos caraduras el aumento para 2021. ;;;;;;;;;;;;;;;;;;;;;;;
59;2;ATENCION CONTRIBUYENTE;QUEJA;el personal administrativo, no se encuentra capacitado para atención mediante ventanilla, como así tampoco lo están en el sector remoto (online), toda vez que no resuelven las consultas, sino que las archivan sin dar solución.-;;;;;;;;;;;;;;;;;;;;;;;
60;2;SISTEMAS;RECLAMO;es demasiada básica la pagina y no se puede realizar ninguna corrección en mis tramites on line o  hacer algun comentario o pregunta a la persona que debe resolver;;;;;;;;;;;;;;;;;;;;;;;
61;2;SISTEMAS;RECLAMO;es muy complejo realizar un reclamo por web y además adjuntar archivos;;;;;;;;;;;;;;;;;;;;;;;
62;2;SISTEMAS;SUGERENCIA;agregar distintos correos eléctrinicos aclarados a que sector corresponden para realizar consultas u otros para los diferentes trámites.;;;;;;;;;;;;;;;;;;;;;;;
63;2;GESTION INTERNA;RECLAMO;menos demora en las respuestas y mas sencillo los sellados;;;;;;;;;;;;;;;;;;;;;;;
64;2;ATENCION CONTRIBUYENTE;RECLAMO;mejor atención en ventanilla única. simplificar aún más la información, las indicaciones y letras más grandes.;;;;;;;;;;;;;;;;;;;;;;;
65;2;GESTION INTERNA;RECLAMO;es muy complejo e inentendible hacer seguimiento de tramite, responder observaciones y reclamar falta de respuestas a los expedientes iniciados.;;;;;;;;;;;;;;;;;;;;;;;
66;2;ATENCION CONTRIBUYENTE;QUEJA;deberían atender de forma presencial. todo los organismos estatales están funcionando como antes de la pandemia.  parece que atm no quiere trabajar, de esta manera  no van a recaudar;;;;;;;;;;;;;;;;;;;;;;;
67;2;ATENCION CONTRIBUYENTE;SUGERENCIA;un telefono de comunicación. una mesa de entradas para informes... miconsulta es breve. quiero saber si sigue vigente  el descuento de auto nuevo por auto nuevo;;;;;;;;;;;;;;;;;;;;;;;
68;2;ATENCION CONTRIBUYENTE;QUEJA;nadie responde a las consultas, no atienden el teléfono ni responden los mails, es imposible comunicarse. he iniciado nuevamente un trámite en catastro para ver si me contesta alguien;;;;;;;;;;;;;;;;;;;;;;;
69;2;SISTEMAS;RECLAMO;para el sellado de orden de compra no figura dicha opción en el tipo de archivo a adjuntar;;;;;;;;;;;;;;;;;;;;;;;
70;2;SISTEMAS;SUGERENCIA;en mis trámites debería permitir hacer comentarios del documento adjunto de ser necesario. en la oficina virtual en impuestos debería el sistema arrojar datos como el iporte y fecha de pago y debería dejar generar boletos para el calculo de intereses de manera simple;;;;;;;;;;;;;;;;;;;;;;;
71;2;SISTEMAS;SUGERENCIA;hay que explicar mas el tema de presentaciones on line;;;;;;;;;;;;;;;;;;;;;;;
72;2;;VARIOS;necesito la inscripcion en ingresos brutos - gracias -;;;;;;;;;;;;;;;;;;;;;;;
73;2;SISTEMAS;SUGERENCIA;sería conveniente poder hacer consultas on line mas dinámicas con respecto a los trámites a realizar con un canal exclusivo para contadores matriculados.;;;;;;;;;;;;;;;;;;;;;;;
74;2;GESTION INTERNA;QUEJA;ya no quieren trabajar, ahora los contratos ya ni siquiera los quieren cargar, no estaria sabiendo para que cobran lo que cobran si ya ni eso hacen. saludos;;;;;;;;;;;;;;;;;;;;;;;
75;2;ATENCION CONTRIBUYENTE;RECLAMO;es necesaria la atencion personal  por casos puntuales no resueltos por pagina web;;;;;;;;;;;;;;;;;;;;;;;
76;2;SISTEMAS;RECLAMO;el sistema tramites en linea es poco amigable, muy complicado de entender. creo que esto puede hacer que los expedientes no se muevan con mas agilidad.;;;;;;;;;;;;;;;;;;;;;;;
77;2;GESTION INTERNA;QUEJA;inicie tramite el año pasado y todavia no tenemos respuesta;;;;;;;;;;;;;;;;;;;;;;;
78;2;GESTION INTERNA;QUEJA;colocar gente idónea para responder trámites web.;;;;;;;;;;;;;;;;;;;;;;;
79;2;GESTION INTERNA;QUEJA;inicié un tramite solicitando la baja como agente de retención de sellos , yo nunca recibí ninguna notificación en mi domicilio electrónico de las observaciones que se efectuaron y sin más lo mandaron a archivo sin darme la oportunidad de agregar la documentación que me pedían.  ahora  he tenido que  iniciar otro expediente.  del diseño de la página es complicado. no se condice con la tramitación normal de un expediente que permite por ejemplo el desarchivo.;;;;;;;;;;;;;;;;;;;;;;;
80;2;SISTEMAS;QUEJA;"cuando trate de registrarme on line, resultó imposible, ya que jamás me enviaron el mail con el link que dicen se necesita para la registracion.tuve que contactarme a traves de ""ayuda"",y mensajes en la pagina. no se aun si el problema esta resuelto...pero me respondieron hoy...veremos";;;;;;;;;;;;;;;;;;;;;;;
81;2;SISTEMAS;QUEJA;falta mas indicaciones para acceder a ciertos tramites como el de los sellados. ;;;;;;;;;;;;;;;;;;;;;;;
82;2;ATENCION CONTRIBUYENTE;QUEJA;nunca atienden cuando se llama al fono servicio;;;;;;;;;;;;;;;;;;;;;;;
83;2;ATENCION CONTRIBUYENTE;QUEJA;sería ideal que alguien atienda el teléfono;;;;;;;;;;;;;;;;;;;;;;;
84;2;SISTEMAS;FELICITACIONES;todo muy claro y preciso;;;;;;;;;;;;;;;;;;;;;;;
85;2;ATENCION CONTRIBUYENTE;SUGERENCIA;podrian brindar mayor informacion de asesoramiento en la seccion mis tramites.;;;;;;;;;;;;;;;;;;;;;;;
86;2;SISTEMAS;FELICITACIONES;bien;;;;;;;;;;;;;;;;;;;;;;;
87;2;SISTEMAS;SUGERENCIA;hay consultas rapidas que podrian solucionarse con un chat. creo que falta en la pagina un chat con un operador de atm.;;;;;;;;;;;;;;;;;;;;;;;
88;2;SISTEMAS;SUGERENCIA;cuando uno ya  abono un boleto no deja  imprimirlo.. deberia  dejarse  y que  figure  como un  sello de agua   que diga  pagado,...  de esa  forma  se visualiza  posterior   al pago y  no fuigura como pendiente.. sino abonado;;;;;;;;;;;;;;;;;;;;;;;
89;2;;VARIOS;"la respuesta del punto 4, es en base a lo que espero del trámite que he realizado; utilice la sección trámies on-line por primera vez.";;;;;;;;;;;;;;;;;;;;;;;
90;2;GESTION INTERNA;RECLAMO;debería ser mas rápido la resolución de los trámites, como  por ejemplo pedido de tasa de justicia o numero de planos de títulos supletorios. ;;;;;;;;;;;;;;;;;;;;;;;
91;2;SISTEMAS;FELICITACIONES;buena;;;;;;;;;;;;;;;;;;;;;;;
92;2;SISTEMAS;SUGERENCIA;mejorar los iconos de mis trámites!;;;;;;;;;;;;;;;;;;;;;;;
93;2;GESTION INTERNA;QUEJA;atm es una verguenza. funciona mal y trabaja mal la gente que esta atras de este sistema, no tenemos respuestas rapidas y solo tenemos que lidiar contra una pagina. atm un desastre y la gente adaptada al sistema. un desastre. gracias por complicarle la existencia a lso contadores. ;;;;;;;;;;;;;;;;;;;;;;;
94;2;SISTEMAS;RECLAMO;podrian dar la posibilidad de sacar boleta de plan de pagos sin iniciar un expediente.;;;;;;;;;;;;;;;;;;;;;;;
95;2;GESTION INTERNA;RECLAMO;los tramites on line deberian ser mas rapidos si solo es un pedido de boleta para pagar;;;;;;;;;;;;;;;;;;;;;;;
96;2;SISTEMAS;QUEJA;muchas veces esta en mantenimiento y no funciona;;;;;;;;;;;;;;;;;;;;;;;
97;2;SISTEMAS;QUEJA;no es para usuarios no familiarizados con internet;;;;;;;;;;;;;;;;;;;;;;;
98;2;SISTEMAS;SUGERENCIA;que sea mas ágil la obtención de información y mas explicita ;;;;;;;;;;;;;;;;;;;;;;;
99;2;GESTION INTERNA;QUEJA;mi tramite es por retenciones indebidas desde 2018 y 3 años mas tarde no tengo ninguna respuesta. 3 años reteniendome el 8% mensual... para cobrar son rapidos, para devover lo robado... ya van 3 años;;;;;;;;;;;;;;;;;;;;;;;
100;2;ATENCION CONTRIBUYENTE;RECLAMO;pueden dar mejor atencion en la casa de gobierno? casi me infarto con el mal trato recibido, tengo 66 años y me cuesta el manejo de internet podrian tener una persona, para que atienda a las personas mayores,y les soluciones los problemas gracias;;;;;;;;;;;;;;;;;;;;;;;
101;2;SISTEMAS;SUGERENCIA;hay boletos de inmobiliario y patentes que deberian seguir enviandolos al domicilio;;;;;;;;;;;;;;;;;;;;;;;
102;2;SISTEMAS;SUGERENCIA;que atm y la justicia acuerden el modo de decretar. en los expedientes judiciales aún decretan con el sistema anterior;;;;;;;;;;;;;;;;;;;;;;;
103;2;GESTION INTERNA;QUEJA;tengo un trámite pendiente sin respuesta de atm - expte. electrónico n° ee-6343-2021;;;;;;;;;;;;;;;;;;;;;;;
104;2;SISTEMAS;SUGERENCIA;usar atajos de trámites mas usados porque a veces es difícil llegar al tramite objetivo  ;;;;;;;;;;;;;;;;;;;;;;;
105;2;SISTEMAS;SUGERENCIA;los pagos de planes de pago deberia acreditarse rapido o tener donde poder informarlo para poder generar el libre de deuda rapido y en tiempo;;;;;;;;;;;;;;;;;;;;;;;
106;2;SISTEMAS;RECLAMO;mejorar explicación de los tramites e incorporar automáticamente los vehículos de los contribuyentes, en mi caso no fue así por lo que presente un expediente electrónico para solicitar el alta;;;;;;;;;;;;;;;;;;;;;;;
107;2;SISTEMAS;RECLAMO;no estan todas las opciones en el boton aplicativos sellos falta loc vi mas de 120000;;;;;;;;;;;;;;;;;;;;;;;
108;2;;VARIOS;cambio domicilio es ituzaingo 2358 dpto 3 4ta seccion de ciudad mendoza gracias ;;;;;;;;;;;;;;;;;;;;;;;
109;2;SISTEMAS;QUEJA;la plataforma sobre la que corre atm es lenta y cada click necesita de varios segundos de actualizacion lo que hace muy lento el uso de la plataforma;;;;;;;;;;;;;;;;;;;;;;;
110;2;SISTEMAS;FELICITACIONES;nada;;;;;;;;;;;;;;;;;;;;;;;
111;2;SISTEMAS;SUGERENCIA;dentro de la sección trámites encontrar la opción de oficina virtual no me pareció intuitiva. me resultó muy dificil detectar que existía esa función.;;;;;;;;;;;;;;;;;;;;;;;
112;2;SISTEMAS;QUEJA;muy engorrosa la búsqueda, hace varios días estamos tratando de poner al día el inmobiliario y no hay forma de sacar boleto de cuotas vencidas actualizadas ni generar vep;;;;;;;;;;;;;;;;;;;;;;;
113;2;GESTION INTERNA;QUEJA;estaria bueno que no dejen esperando a la gente con un expediente eternamente, si se inicia uno es porque necesita resolver una situación.;;;;;;;;;;;;;;;;;;;;;;;
114;2;ATENCION CONTRIBUYENTE;QUEJA;atiendan al publico ...... impresentables!!!!!!!!!;;;;;;;;;;;;;;;;;;;;;;;
115;2;ATENCION CONTRIBUYENTE;RECLAMO;le falta una opción de contacto con algún operad@r, y que la pagina sea mas intuitiva y que no abra tantas ventanas para diferentes tramites.;;;;;;;;;;;;;;;;;;;;;;;
116;2;SISTEMAS;SUGERENCIA;me parece que la encuesta deberia estar despues de tener respuesta del tramite y no al inicio , xq de esa forma no refleja si el tramite fue resuelto o no.;;;;;;;;;;;;;;;;;;;;;;;
117;2;SISTEMAS;SUGERENCIA;el trámite de sellado de contratos es mejor de manera presencial ;;;;;;;;;;;;;;;;;;;;;;;
118;2;GESTION INTERNA;QUEJA;"podrían bajar las alícuotas de iibb, es una barbaridad lo que se paga y encima me hacen retenciones hasta en dólares. si se viera lo recaudado en obras, pero ni eso.
respecto a la plataforma de atm es bastante antigua y rudimentaria, no enlaza bien la información con afip y la cantidad de papeles, formularios, ddjj, constancias, etc. que piden para realizar cualquier trámite es ofuscante!";;;;;;;;;;;;;;;;;;;;;;;
119;2;SISTEMAS;FELICITACIONES;muy buenos todo, muy claro.pagina optima;;;;;;;;;;;;;;;;;;;;;;;
120;2;SISTEMAS;QUEJA;incomprensible el seguimiento de tramites de mis tramites;;;;;;;;;;;;;;;;;;;;;;;
121;2;ATENCION CONTRIBUYENTE;SUGERENCIA;mejorar la atención directa para consultas. ;;;;;;;;;;;;;;;;;;;;;;;
122;2;ATENCION CONTRIBUYENTE;SUGERENCIA;mejorar los canales de contacto a través de e-mail;;;;;;;;;;;;;;;;;;;;;;;
123;2;GESTION INTERNA;QUEJA;tengo problemas con la demora en devolver los tramites , las inscripciones demoran mucho deberian estar trabajando como todos ;;;;;;;;;;;;;;;;;;;;;;;
124;2;CATASTRO;QUEJA;hay muchos trámites que están pensados para sólo profesionales y no para el contribuyente común, por ejemplo el expediente electrónico en catastro;;;;;;;;;;;;;;;;;;;;;;;
125;2;SISTEMAS;SUGERENCIA;sugiero mejor explicación en cada paso.;;;;;;;;;;;;;;;;;;;;;;;
126;2;SISTEMAS;QUEJA;estoy tratando de completar y enviar el formulario para la devolución del impuesto al automotor por excedente, pero me encuentro con errores en el formulario que me impiden terminar y enviar.;;;;;;;;;;;;;;;;;;;;;;;
127;2;SISTEMAS;SUGERENCIA;sugiero comunicar la forma de obtener, por ejemplo, formularios, exento de tasa tributaria, entre otros documentos que se exigen para realizar los diferentes trámites. es importante poder guiar al usuario de la plataforma atm para lograr una satisfacción elevada en la resolución del tramite.;;;;;;;;;;;;;;;;;;;;;;;
128;2;SISTEMAS;RECLAMO;dadas las circunstancias que estamos viviendo, deberian ser mas rapidos y practicos.;;;;;;;;;;;;;;;;;;;;;;;
129;2;ATENCION CONTRIBUYENTE;QUEJA;imposible comunicarse con el 148, y los boletos no están todos modificados con el tope en automotor;;;;;;;;;;;;;;;;;;;;;;;
130;2;ATENCION CONTRIBUYENTE;SUGERENCIA;mejorar la atención telefonica;;;;;;;;;;;;;;;;;;;;;;;
131;2;ATENCION CONTRIBUYENTE;QUEJA;demasiados problemas en el intento de comunicarse para estos temas. la solución ofrecida indica que el sistema no funciona correctamente y no hay forma de hacer ningún cambio?;;;;;;;;;;;;;;;;;;;;;;;
132;2;SISTEMAS;QUEJA;la página es muy ruidosa, la información es confusa y los formularios (sobre todo el de la actualización y devolución del impuesto automotor) no funciona!!!!! tampoco atienden el teléfono.... son impresentables.;;;;;;;;;;;;;;;;;;;;;;;
133;2;SISTEMAS;SUGERENCIA;se tendría que realizar un tutorial;;;;;;;;;;;;;;;;;;;;;;;
134;2;;VARIOS;turno;;;;;;;;;;;;;;;;;;;;;;;
135;2;GESTION INTERNA;QUEJA;he formulado reclamo por erronea liquidacion del impuesto automotor no aplicando el decreto 99/21 lo cual me perjudica si no se me liquida correctamente antes del 26/02/2021 en que vence.-;;;;;;;;;;;;;;;;;;;;;;;
136;2;SISTEMAS;SUGERENCIA;debería estar la opción de chatear con un representante para orientar donde y como realizar determinado tramite, así también como orientar la documentación que se requiere para tal tramite;;;;;;;;;;;;;;;;;;;;;;;
137;2;SISTEMAS;SUGERENCIA;me gustaria que el acceso y la creacion de un expediente electronico sea mas simple y eficiente;;;;;;;;;;;;;;;;;;;;;;;
138;2;ATENCION CONTRIBUYENTE;QUEJA;estoy llamando y tratando de comunicarme y no me dan una solución viene el boleto automotor a nombre de otra persona ;;;;;;;;;;;;;;;;;;;;;;;
139;2;GESTION INTERNA;QUEJA;realice un tramite para pago de sellado de contrato y tuve que volver a presentar, porque mandaron al archivo el exp. anterior sin comunicarme absolutamente nada y no respondiendo lo que yo presenté;;;;;;;;;;;;;;;;;;;;;;;
140;2;SISTEMAS;RECLAMO;el alta de la oficina virtual deben sacar el campo de poner la fecha del último pago.;;;;;;;;;;;;;;;;;;;;;;;
141;2;SISTEMAS;SUGERENCIA;deberían ampliar la descripción de los botones y qué implica cada uno. por ejemplo: pagar con cbu o con boleto electrónico. yo entendí que cbu era débito automático instantáneo y no, me lo pasó para varios días después del mes siguiente. la intención era abonar en el momento ;;;;;;;;;;;;;;;;;;;;;;;
142;2;;VARIOS;no puedo responder si el tràmite es satisfactorio porque todavìa no tengo respuesta;;;;;;;;;;;;;;;;;;;;;;;
143;2;CATASTRO;QUEJA;puse en como fue resuelto nada satisfactoria, porque de hecho tengo un expediente que inicie en julio de 2020 y todavía no tiene resolución, lo mandan de catastro a informática y todavía no esta resuelto, todavía no puedo enviar mis catastrales con mis datos como titular de mi registro.- ;;;;;;;;;;;;;;;;;;;;;;;
144;2;CATASTRO;RECLAMO;"sra. directora d.g.catastro. arbitre los medios necesarios, para que vuelva la atención
personalizada. todos los organismos públicos, la retomaron.-gracias..............";;;;;;;;;;;;;;;;;;;;;;;
145;2;GESTION INTERNA;QUEJA;"no revisan la sección ""ingresos varios"" hace 3 dias que espero un codigo y no lo generan";;;;;;;;;;;;;;;;;;;;;;;
146;2;SISTEMAS;SUGERENCIA;mejorar la información normativa que brinda la pagina suele ser confusa.;;;;;;;;;;;;;;;;;;;;;;;
147;2;ATENCION CONTRIBUYENTE;RECLAMO;deberían atender el 0800 y tener personal para que atienda presencial con protocolo aplicado ;;;;;;;;;;;;;;;;;;;;;;;
148;2;SISTEMAS;FELICITACIONES;es la primera vez que lo hago espero que funcione bien ;;;;;;;;;;;;;;;;;;;;;;;
149;2;SISTEMAS;FELICITACIONES;excelente pagina;;;;;;;;;;;;;;;;;;;;;;;
