,P7,ingles
48,"he tenido problemas por 1ra vez este año para el sellado de un contrato de locaciòn con el estado municipalidad de guaymallen me envìan x email con el siguiente mensaje que no lo considero claro se genero la tarea observa tema solicitud de sellado del tramite ee-4076-2021 genus que debera ser resuelta por usted a continuacion intente resolverlo pero fracase con lo cual luego de casi 1 mes lo vuelvo a realizar pd en principio pensè que el error mìo fue haber adjuntado archivos jpg entonces dìas despuès de deducir esto adjuntè los mismos documentos en pdf pero al dìa de hoy aparece el mismo cartel de observa por lo tanto he resuelto empezar desde cero con el mismo tramite slds cordiales
","I have had problems for 1 time this year for the sealing of a Location contract with the Municipality State of Guaymallen, send me X Email with the following message that I do not consider it clear is the task observes theme sealing request of the procedure EE-4076- 2021 Genus that you should be resolved by you then try to solve it but I fail with which after almost 1 month I come back to PS in principle I thought that the error was then having attached JPG files then days after deducting this attached the same documents in PDF but today's day appears the same observing poster therefore I have solved start from scratch with the same cordial SLDS procedure
"
49,el instructivo de la pagina de sellados es incompleto o responde a una pagina que ya ha sido cambiada,The instructional of the sealed page is incomplete or responds to a page that has already been changed
50,quisiera recibir los boletos por mail,I would like to receive tickets by mail
51,informar telefonos habilitados para catastro  y avaluos para sellos para consultas urgentes ya que el tramite on line demora varios dias  tel 148  interno 1 siempre esta ocupado ,Report cadastre-enabled telephones and evaluates for stamps for urgent consultations since the online procedure delay several days tel 148 internal 1 is always busy
52,una vez que el expediente queda en manos del inspector ya no se puede agregar nada por cuanto el expediente puede dormir sin que se nos brinde una respuesta,"Once the file is left in the hands of the inspector, nothing can be added, because the file can sleep without an answer gives us"
53,cuesta mucho encontrar lo que se busca deberia ser mas clara y accesible la pagina,it costs a lot to find what is sought should be clearer and the page
54,muy costoso consegui las certificaciones,Very expensive I got the certifications
55,mi tramite fue cursado tal que no se si sera resuelto  y la pregunta 4 no lo preve por eso indico nada satisfactoria,my process was studied such that I do not know if it will be resolved and question 4 does not foresee it that is why nothing satisfactory
56,no es posible la comunicacion de pasos a seguir o requisitos de tramites,The communication of steps to follow or procedure requirements is not possible
57,que porfavor revisen sus registros por que figuran deudas que no existen,that please review their records because there are no debts that do not exist
58,son unos caraduras el aumento para 2021 ,They are leggings the increase for 2021
59,el personal administrativo no se encuentra capacitado para atencion mediante ventanilla como asi tampoco lo estan en el sector remoto online toda vez que no resuelven las consultas sino que las archivan sin dar solucion-,"The administrative staff is not trained for a window at the same time, either in the online remote sector, as long as they do not resolve the consultations, but they archive them without giving solutions."
60,es demasiada basica la pagina y no se puede realizar ninguna correccion en mis tramites on line o  hacer algun comentario o pregunta a la persona que debe resolver,It is too basic the page and you can not make any correction in my on-line procedures or make some comments or ask the person who must solve
61,es muy complejo realizar un reclamo por web y ademas adjuntar archivos,It is very complex to make a web claim and also attach files
62,agregar distintos correos electrinicos aclarados a que sector corresponden para realizar consultas u otros para los diferentes tramites,Add different e-mails clarified to which sector correspond to consultations or others for the different procedures
63,menos demora en las respuestas y mas sencillo los sellados,Less delay in the answers and easier sealants
64,mejor atencion en ventanilla unica simplificar aun mas la informacion las indicaciones y letras mas grandes,Best ATTENTION IN VENTANILLA UNICA SIMPLIFICIFY INFORMATION Further information The larger indications and letters
65,es muy complejo e inentendible hacer seguimiento de tramite responder observaciones y reclamar falta de respuestas a los expedientes iniciados,It is very complex and inegitably monitoring process reply and claiming lack of responses to the files initiated
66,deberian atender de forma presencial todo los organismos estatales estan funcionando como antes de la pandemia  parece que atm no quiere trabajar de esta manera  no van a recaudar,they should attend in personally all state agencies are working as before the pandemic it seems that ATM does not want to work in this way they will not collect
67,un telefono de comunicacion una mesa de entradas para informes miconsulta es breve quiero saber si sigue vigente  el descuento de auto nuevo por auto nuevo,A communication telephone A ticket table for MICONSULT reports is short I want to know if the new car discount by new car is still valid
68,nadie responde a las consultas no atienden el telefono ni responden los mails es imposible comunicarse he iniciado nuevamente un tramite en catastro para ver si me contesta alguien,Nobody responds to the consultations do not attend the phone or answer the mails It is impossible to communicate I have started again a cadastre process to see if someone answers me
69,para el sellado de orden de compra no figura dicha opcion en el tipo de archivo a adjuntar,"For the purchase order sealing, this option is not included in the file type to attach"
70,en mis tramites deberia permitir hacer comentarios del documento adjunto de ser necesario en la oficina virtual en impuestos deberia el sistema arrojar datos como el iporte y fecha de pago y deberia dejar generar boletos para el calculo de intereses de manera simple,"In my procedures, it should allow commenting on the attached document to be necessary in the Virtual Office on Tax should the system yield data such as the IPORT and date of payment and should allow generating tickets for the calculation of interest in a simple way"
71,hay que explicar mas el tema de presentaciones on line,You have to explain more the topic of presentations online
72,necesito la inscripcion en ingresos brutos - gracias -,I need the registration in gross income - thank you -
73,seria conveniente poder hacer consultas on line mas dinamicas con respecto a los tramites a realizar con un canal exclusivo para contadores matriculados,It would be convenient to be able to make more dynamic online consultations regarding the procedures to be carried out with an exclusive channel for enrolled accountants
74,ya no quieren trabajar ahora los contratos ya ni siquiera los quieren cargar no estaria sabiendo para que cobran lo que cobran si ya ni eso hacen saludos,"They no longer want to work now the contracts do not even want them, I would not be knowing what they charge if they do not even do greetings"
75,es necesaria la atencion personal  por casos puntuales no resueltos por pagina web,Personal attention is necessary for unresolved punctual cases by web page
76,el sistema tramites en linea es poco amigable muy complicado de entender creo que esto puede hacer que los expedientes no se muevan con mas agilidad,The online processing system is unfriendly very complicated to understand I think this can make the files do not move with more agility
77,inicie tramite el año pasado y todavia no tenemos respuesta,Start process last year and we still have no answer
78,colocar gente idonea para responder tramites web,Place people Idonea to answer web processing
79,inicie un tramite solicitando la baja como agente de retencion de sellos  yo nunca recibi ninguna notificacion en mi domicilio electronico de las observaciones que se efectuaron y sin mas lo mandaron a archivo sin darme la oportunidad de agregar la documentacion que me pedian  ahora  he tenido que  iniciar otro expediente  del diseño de la pagina es complicado no se condice con la tramitacion normal de un expediente que permite por ejemplo el desarchivo,Start a process requesting the low as an agent of stamp retention I never received any notification at my electronic address of the observations that were made and without more sending it to file without giving me the opportunity to add the documentation they asked me now I have had to start Another page design record is complicated not to be conditioned with the normal processing of a file that allows for example the disorder
80,cuando trate de registrarme on line resulto imposible ya que jamas me enviaron el mail con el link que dicen se necesita para la registraciontuve que contactarme a traves de ayuday mensajes en la pagina no se aun si el problema esta resueltopero me respondieron hoyveremos,"When you try to register on Line, it turned out impossible since you never sent me the mail with the link that they say is needed for the registration I have to contact me through helping messages on the page I do not even know if the problem is resolved but they answered today"
81,falta mas indicaciones para acceder a ciertos tramites como el de los sellados ,lack more indications to access certain procedures such as the sealants
82,nunca atienden cuando se llama al fono servicio,they never attend when it is called the service phone
83,"seria ideal que alguien atienda el telefono

","It would be ideal for someone to attend the phone

"
84,todo muy claro y preciso,All very clear and precise
85,podrian brindar mayor informacion de asesoramiento en la seccion mis tramites,They could provide greater information about advice in the My Procedure Section
86,bien,well
87,"hay consultas rapidas que podrian solucionarse con un chat
creo que falta en la pagina un chat con un operador de atm","There are fast queries that could be solved with a chat
I think missing on the page a chat with an ATM operator"
88,cuando uno ya  abono un boleto no deja  imprimirlo deberia  dejarse  y que  figure  como un  sello de agua   que diga  pagado  de esa  forma  se visualiza  posterior   al pago y  no fuigura como pendiente sino abonado,"When one already fertilizes a ticket, it does not let it print it, it should be left and that it appears as a water seal that says paid in that way is visualized after payment and not fuagura as a slope but subscriber"
89,la respuesta del punto 4 es en base a lo que espero del tramite que he realizado utilice la seccion tramies on-line por primera vez,The answer of point 4 is based on what I expect from the process that I have made use the online Tramaies section for the first time
90,deberia ser mas rapido la resolucion de los tramites como  por ejemplo pedido de tasa de justicia o numero de planos de titulos supletorios ,"The resolution of the procedures should be faster as, for example, request for justice rate or number of planes of supplementary titles"
91,buena,good
92,mejorar los iconos de mis tramites,Improve the icons of my procedures
93,atm es una verguenza funciona mal y trabaja mal la gente que esta atras de este sistema no tenemos respuestas rapidas y solo tenemos que lidiar contra una pagina atm un desastre y la gente adaptada al sistema un desastre gracias por complicarle la existencia a lso contadores ,ATM is a embarrassment works badly and it works badly The people who are behind this system do not have fast answers and we only have to deal with an ATM page a disaster and people adapted to the system a disaster thanks for complicating the existence of LSO Accountants
94,podrian dar la posibilidad de sacar boleta de plan de pagos sin iniciar un expediente,They could give the possibility to take out pay ticket ballot without starting a file
95,los tramites on line deberian ser mas rapidos si solo es un pedido de boleta para pagar,Online Processes should be faster if it is only a ballot order to pay
96,muchas veces esta en mantenimiento y no funciona,Many times it is in maintenance and it does not work
97,no es para usuarios no familiarizados con internet,It is not for users not familiar with the Internet
98,que sea mas agil la obtencion de informacion y mas explicita ,that is more agile the obtaining of information and more explicit
99,mi tramite es por retenciones indebidas desde 2018 y 3 años mas tarde no tengo ninguna respuesta 3 años reteniendome el 8% mensual para cobrar son rapidos para devover lo robado ya van 3 años,My process is due to undue retentions since 2018 and 3 years later I do not have any answer 3 years retaining me 8% monthly to charge are fast to devover the stolen and go 3 years
100,pueden dar mejor atencion en la casa de gobierno? casi me infarto con el mal trato recibido tengo 66 años y me cuesta el manejo de internet podrian tener una persona para que atienda a las personas mayoresy les soluciones los problemas gracias,Can you give better attention in the house of government? I almost infarmed with the bad treatment I am 66 years old and it costs me the management of the Internet could have a person to attend the older people and solutions the problems thanks
101,hay boletos de inmobiliario y patentes que deberian seguir enviandolos al domicilio,There are real estate tickets and patents that should continue to send them at home
102,que atm y la justicia acuerden el modo de decretar en los expedientes judiciales aun decretan con el sistema anterior,"that ATM and justice agree the way to decree in judicial records, they still decree with the previous system"
103,tengo un tramite pendiente sin respuesta de atm - expte electronico n° ee-6343-2021,I have an ATM No Pending Pendant Tramit - EXPTE ELECTRONIC N ° EE-6343-2021
104,usar atajos de tramites mas usados porque a veces es dificil llegar al tramite objetivo  ,Use more used process shortcuts because sometimes it is difficult to reach the target procedure
105,los pagos de planes de pago deberia acreditarse rapido o tener donde poder informarlo para poder generar el libre de deuda rapido y en tiempo,Payment payments should be credited fast or where you can inform it to generate the free debt free and in time
106,mejorar explicacion de los tramites e incorporar automaticamente los vehiculos de los contribuyentes en mi caso no fue asi por lo que presente un expediente electronico para solicitar el alta,"Improve explanation of the procedures and automatically incorporate taxpayers' vehicles in my case, it was not so for an electronic file to request the discharge"
107,no estan todas las opciones en el boton aplicativos sellos falta loc vi mas de 120000,There are not all options in the Application Pin STABLES Lack Loc I saw more than 120000
108,cambio domicilio es ituzaingo 2358 dpto 3 4ta seccion de ciudad mendoza gracias ,change address is ituzaingo 2358 dpto 3 4th section of city mendoza thanks
109,la plataforma sobre la que corre atm es lenta y cada click necesita de varios segundos de actualizacion lo que hace muy lento el uso de la plataforma,The platform on which running ATM is slow and each click needs several seconds of update what makes the use of the platform very slow
110,nada,nothing
111,dentro de la seccion tramites encontrar la opcion de oficina virtual no me parecio intuitiva me resulto muy dificil detectar que existia esa funcion,Inside the Tramites Section Find the Virtual Office Option I did not seem intuitive I was very difficult to detect that this function existed
112,muy engorrosa la busqueda hace varios dias estamos tratando de poner al dia el inmobiliario y no hay forma de sacar boleto de cuotas vencidas actualizadas ni generar vep,very cumbersome the search several days ago we are trying to update the real estate and there is no way to take up ticket of updated expired quotas or generate VEP
113,estaria bueno que no dejen esperando a la gente con un expediente eternamente si se inicia uno es porque necesita resolver una situacion,It would be good that they do not stop waiting for people with a file eternally if one starts is because it needs to solve a situation
114,atiendan al publico  impresentables,Attending the Impresentable Public
115,le falta una opcion de contacto con algun operad@r y que la pagina sea mas intuitiva y que no abra tantas ventanas para diferentes tramites,You lack a contact option with some operator and that the page is more intuitive and that does not open as many windows for different procedures
116,"me parece que la encuesta deberia estar despues de tener respuesta del tramite y no al inicio  xq de esa forma no refleja si el tramite fue resuelto o no
","It seems to me that the survey should be after having the procedure response and not at the beginning xq in that way does not reflect if the process was solved or not
"
117,el tramite de sellado de contratos es mejor de manera presencial ,The sealing process of contracts is better in a face-to-face
118,"podrian bajar las alicuotas de iibb es una barbaridad lo que se paga y encima me hacen retenciones hasta en dolares si se viera lo recaudado en obras pero ni eso
respecto a la plataforma de atm es bastante antigua y rudimentaria no enlaza bien la informacion con afip y la cantidad de papeles formularios ddjj constancias etc que piden para realizar cualquier tramite es ofuscante","could go down Iibb's aliquots is a barbarity what is paid and over me with retentions until in dollars if they saw him collected in works but neither that
Regarding the ATM platform, it is quite old and rudimentary does not link the information with AFIP and the amount of DDJJ Forms forms etc. they ask to perform any procedure is an offense"
119,muy buenos todo muy claropagina optima,very good all very clearapine optimal
120,incomprensible el seguimiento de tramites de mis tramites,incomprehensible follow-up processing of my procedures
121,mejorar la atencion directa para consultas ,Improve direct attention for queries
122,mejorar los canales de contacto a traves de e-mail,Improve contact channels through e-mail
123,tengo problemas con la demora en devolver los tramites  las inscripciones demoran mucho deberian estar trabajando como todos ,"I have problems with the delay in returning the procedures, the inscriptions take a lot should be working like all"
124,hay muchos tramites que estan pensados para solo profesionales y no para el contribuyente comun por ejemplo el expediente electronico en catastro,"There are many procedures that are designed for only professionals and not for the common taxpayer, for example, the electronic record in Cadastre"
125,sugiero mejor explicacion en cada paso,I suggest better explanation in every step
126,estoy tratando de completar y enviar el formulario para la devolucion del impuesto al automotor por excedente pero me encuentro con errores en el formulario que me impiden terminar y enviar,I am trying to complete and send the form for the return of the automotive tax for surplus but I find errors in the form that prevent me from ending and sending
127,sugiero comunicar la forma de obtener por ejemplo formularios exento de tasa tributaria entre otros documentos que se exigen para realizar los diferentes tramites es importante poder guiar al usuario de la plataforma atm para lograr una satisfaccion elevada en la resolucion del tramite,"I suggest communicating how to obtain for example forms of tax rate, among other documents that are required to perform the different procedures, it is important to be able to guide the user of the ATM platform to achieve a high satisfaction in the resolution of the process"
128,dadas las circunstancias que estamos viviendo deberian ser mas rapidos y practicos,Given the circumstances that we are living should be faster and practical
129,imposible comunicarse con el 148 y los boletos no estan todos modificados con el tope en automotor,Impossible to communicate with 148 and tickets are not all modified with the butt on automotive
130,mejorar la atencion telefonica,improve the telephone service
131,demasiados problemas en el intento de comunicarse para estos temas la solucion ofrecida indica que el sistema no funciona correctamente y no hay forma de hacer ningun cambio?,Too many problems in the attempt to communicate for these topics The solution offered indicates that the system does not work properly and there is no way to make any change?
132,la pagina es muy ruidosa la informacion es confusa y los formularios sobre todo el de la actualizacion y devolucion del impuesto automotor no funciona tampoco atienden el telefono son impresentables,"The page is very noisy, the information is confusing and the forms above all that of the update and returns of the automotive tax does not work either do not attend the phone are impressive"
133,se tendria que realizar un tutorial,it would have to be done a tutorial
134,turno,turn
135,he formulado reclamo por erronea liquidacion del impuesto automotor no aplicando el decreto 99/21 lo cual me perjudica si no se me liquida correctamente antes del 26/02/2021 en que vence-,I made claim for erroneous liquidation of the automotive tax not applying Decree 99/21 which hurts me if I do not settle correctly before 02/26/2021 in which it overcomes-
136,deberia estar la opcion de chatear con un representante para orientar donde y como realizar determinado tramite asi tambien como orientar la documentacion que se requiere para tal tramite,should be the choice of chatting with a representative to guide where and how to make a certain process as well as orienting the documentation required for such procedure
137,me gustaria que el acceso y la creacion de un expediente electronico sea mas simple y eficiente,I would like access and creation of an electronic file more simple and efficient
138,estoy llamando y tratando de comunicarme y no me dan una solucion viene el boleto automotor a nombre de otra persona ,I'm calling and trying to communicate and do not give me a solution comes the automotive ticket on behalf of another person
139,realice un tramite para pago de sellado de contrato y tuve que volver a presentar porque mandaron al archivo el exp anterior sin comunicarme absolutamente nada y no respondiendo lo que yo presente,Make a process for contract sealing payment and I had to present it again because they sent the file previously without communicating absolutely nothing and not responding what I present
140,"la pregunta 4 la respondi pero aun no tengo respuesta del tramite
el alta de la oficina virtual deben sacar el campo de poner la fecha del ultimo pago","Question 4 I answered but I still have no response from the process
The tall of the virtual office must take out the field of putting the last payment date"
141,deberian ampliar la descripcion de los botones y que implica cada uno por ejemplo pagar con cbu o con boleto electronico yo entendi que cbu era debito automatico instantaneo y no me lo paso para varios dias despues del mes siguiente la intencion era abonar en el momento ,they should expand the description of the buttons and that it involves each for example pay with CBU or with an electronic ticket I understood that CBU was instant automatic debit and I do not spend it for several days after the next month the intention was paying at the moment
142,no puedo responder si el tràmite es satisfactorio porque todavìa no tengo respuesta,I can not answer if the trchame is satisfactory because I still have no answer
143,puse en como fue resuelto nada satisfactoria porque de hecho tengo un expediente que inicie en julio de 2020 y todavia no tiene resolucion lo mandan de catastro a informatica y todavia no esta resuelto todavia no puedo enviar mis catastrales con mis datos como titular de mi registro- ,"I put on how it was solved nothing satisfactory because in fact I have a file that begins in July 2020 and it still has no resolution, they send it from Cadastre to Informatica and it is not yet resolved I still can not send my catastrals with my data as the holder of my record-"
144,"sra directora dgcatastro arbitre los medios necesarios para que vuelva la atencion
personalizada todos los organismos publicos la retomaron-gracias","Ms. Director DGCatastro Arbitrate The necessary means for the attention
Custom All Public Organisms Retaken-Thank You"
145,no revisan la seccion ingresos varios hace 3 dias que espero un codigo y no lo generan,do not review the several income section 3 days ago I expect a code and do not generate it
146,mejorar la informacion normativa que brinda la pagina suele ser confusa,Improve the normative information provided by the page is usually confused
147,deberian atender el 0800 y tener personal para que atienda presencial con protocolo aplicado ,They should attend to the 0800 and have personnel to attend face-to-face with an applied protocol
148,deberian atender el 0800 y tener personal para que atienda presencial con protocolo aplicado ,They should attend to the 0800 and have personnel to attend face-to-face with an applied protocol
149,es la primera vez que lo hago espero que funcione bien ,It's the first time I do I hope it works well
150,excelente pagina,Excellent page
151,"los tramites digitales deberian tener respuesta mas rapida
las demoras suelen ser demasiado lentas en el tiempo","Digital procedures should have more quick response
the delays are usually too slow in time"
152,para algunos tramites deberian brindar mejor asesoramiento telefonico,For some procedures you should provide better telephone advice
153,excelente ,Excellent
154,una app urgente para descargar ,An urgent app to download
155,se necesita poder realizar mas tramites es imposible comunicarse al 148,It is needed to be able to make more procedures is impossible to communicate to 148
156,deberian controlar con regularidad la info contenida ya que he perdido un gran y necesario beneficio como es la tasa reducida por no impactar los pagos que hice hace mas de tres semanas y ademas figuran apremios que nadie sabe decirme quien los tiene o donde pagar y no fueron notificados,they should regularly control the info contained since I lost a great and necessary benefit as it is the reduced rate for not impacting the payments I made more than three weeks ago and also appear as no one knows how to tell me who has them or where to pay them notified
157,sugiero poder gestionar tramites como por ejemplo solicitud de sellado desde una cuenta para varios contribuyente,I suggest you can manage processing for example sealing request from an account for several contributors
158,un tramite de sellado de un contrato que presencialmente se efectua en el momento tardo casi 15 dias en que me enviaran la boleta de pago 15 dias,A sealing process of a contract that is in charge of at the time it takes almost 15 days when they will send me the 15 days payment ballot
159,sugiero mayor claridad en las consignas para iniciar un tramite,I suggest greater clarity in the slogans to start a process
160,las instrucciones de esta plataforma deberian ser todas en castellano la plataforma no sirve para nada tendria un listado interminable de errores un desastre,The instructions on this platform should be all in Spanish The platform does not serve at all I would have an endless list of errors a disaster
161,mayor discriminacion de tramites son muy generales,Greater Discrimination of Processes are very general
162,enviar los boletos por e mail semgimenez@yahoocomar,Send tickets by E Mail Semgimenez @ YahooComar
163,mayor detalle o tramites a realizar por via web,greater detail or process to be carried out by WEB
164,verificar pagos duplicados y no solo pago adeudados,Verify duplicate payments and not just pay owed
165,ante consultas por inconvenientes en los tramites no contestan,Before consultations for disadvantages in the processing do not answer
166,no es posible que exijan acompañar los certificados de tasa cero para los sellados cuando son ustedes los que la emiten es engorroso y podrian falsificarlos,You may not be able to accompany zero-rate certificates for sealed when you are the ones who emit it is cumbersome and could falsify them
167,seria bueno poder ver las deudas de patentes e incluso al descargarla que vaya con el interes correspondiente,It would be good to be able to see patent debts and even download it that goes with the corresponding interest
168,mas agilidad en los tramites y que atiendan el 148,More agility in the procedures and who attend 148
