Marca temporal;1. Utiliza habitualmente la página web de ATM;2. Le resultó simple la creación de su cuenta en Mis Trámites;3. Le resulta comprensible la sección de Mis Trámites;4. El trámite que realizó dentro de Mis Trámites fue resuelto de forma:;5. La información brindada por la página web de ATM es:;6. El boleto para pagar el año 2021 lo obtiene por:;Agregue aquí su sugerencia
2/5/2021 17:44:10;SI;SI;SI;Satisfactoria;Buena;Descarga de la página web de ATM;QUE ME LLEGUE UN MAIL PARA LOS AVISOS DE PAGO 
2/5/2021 17:51:37;SI;SI;SI;Nada satisfactoria;Buena;Descarga de la página web de ATM;No puedo responder con veracidad pregunta 4 hasta no tener respuesta
2/5/2021 19:45:34;NO;SI;NO;Satisfactoria;Buena;Recepción por correo electrónico;
2/5/2021 20:32:00;SI;SI;SI;Muy satisfactoria;Muy Buena;Entrega en su domicilio real;
2/6/2021 8:28:42;NO;SI;NO;Poco satisfactoria;Regular;Descarga de la página web de ATM;Espero me resuelvan el problema muchas gracias
2/6/2021 8:30:22;NO;SI;NO;Poco satisfactoria;Regular;Descarga de la página web de ATM;
2/6/2021 10:00:34;NO;SI;NO;Satisfactoria;Buena;Descarga de la página web de ATM;CREO QUE LA PÁGINA ESTA MUY BUENA, SÓLO QUE NO LA USO DEMASIADO, POR ESO ME RESULTA UN POQUITO COMPLICADA, PERO MIENTRAS MAS LA USO, ME RESULTA MAS CÓMODO Y FÁCIL. ESPERO NO LA MODIFIQUEN
2/6/2021 11:14:42;SI;SI;SI;Poco satisfactoria;Buena;Descarga de la página web de ATM;
2/6/2021 11:32:27;SI;SI;SI;Poco satisfactoria;Buena;Descarga de la página web de ATM;
2/6/2021 13:11:55;SI;SI;SI;Satisfactoria;Buena;Descarga de la página web de ATM;
2/6/2021 15:23:21;NO;SI;SI;Satisfactoria;Buena;Descarga de la página web de ATM;
2/7/2021 11:25:15;SI;SI;SI;Satisfactoria;Buena;Descarga de la página web de ATM;
2/7/2021 13:52:00;NO;SI;SI;Satisfactoria;Buena;Descarga de la página web de ATM;tal vez mas informacion para los tramites online. 
2/7/2021 22:17:58;SI;SI;SI;Satisfactoria;Regular;Descarga de la página web de ATM;
2/8/2021 9:22:50;SI;SI;SI;Satisfactoria;Regular;Entrega en su domicilio real;
2/8/2021 9:39:43;SI;SI;SI;Satisfactoria;Muy Buena;Descarga de la página web de ATM;
2/8/2021 10:08:10;SI;SI;SI;Satisfactoria;Buena;Descarga de la página web de ATM;
2/8/2021 10:14:30;NO;SI;SI;Poco satisfactoria;Buena;Descarga de la página web de ATM;
2/8/2021 10:25:41;SI;SI;SI;Satisfactoria;Buena;Descarga de la página web de ATM;
2/8/2021 10:27:07;NO;SI;SI;Satisfactoria;Buena;Entrega en su domicilio real;
2/8/2021 11:15:24;NO;SI;NO;Poco satisfactoria;Buena;Descarga de la página web de ATM;
2/8/2021 11:18:06;SI;SI;SI;Muy satisfactoria;Muy Buena;Descarga de la página web de ATM;
2/8/2021 11:18:12;SI;NO;NO;Satisfactoria;Regular;Recepción por correo electrónico;"La página es realmente muy ""dura"" / podrían modernizarla un poco más y hacerla más intuitiva. Incluso a mi que trabajo con computadoras e internet me resulta tediosa, no quiero imaginar si estos trámites los tuviera que hacer una persona más grande y con menos experiencia en trámites online. El resto, todo perfecto. Gracias por pedir sugerencia hasta luego"
2/8/2021 11:42:21;SI;SI;SI;Satisfactoria;Muy Buena;Descarga de la página web de ATM;
2/8/2021 12:32:12;SI;SI;NO;Satisfactoria;Buena;Descarga de la página web de ATM;El sellado de contrato de alquiler fue mejor el año pasado cuando se llenaba formularios, soy corredora inmobiliaria deberíamos tener un usuario diferente. A principios del año pasado había mas interacción con mensajes con la persona que me atendía, hoy no hay respuesta... cuando se requiere por alguna duda, debería haber mas atención personalizada. Muchas gracias
2/8/2021 12:42:48;SI;SI;SI;Muy satisfactoria;Muy Buena;Descarga de la página web de ATM;
2/8/2021 13:35:53;SI;NO;SI;Poco satisfactoria;Buena;Descarga de la página web de ATM;
2/8/2021 13:57:38;SI;SI;SI;Muy satisfactoria;Muy Buena;Descarga de la página web de ATM;
2/8/2021 14:16:26;SI;SI;SI;Satisfactoria;Buena;Descarga de la página web de ATM;
2/8/2021 14:32:34;SI;SI;SI;Poco satisfactoria;Buena;Descarga de la página web de ATM;
2/8/2021 15:44:54;SI;SI;SI;Satisfactoria;Buena;Descarga de la página web de ATM;
2/8/2021 17:08:53;SI;SI;SI;Satisfactoria;Buena;Descarga de la página web de ATM;me cuesta ingresar a tramites on line a veces da error de java
2/8/2021 17:11:14;NO;SI;NO;Poco satisfactoria;Regular;a;
2/8/2021 17:57:27;SI;SI;SI;Muy satisfactoria;Muy Buena;Descarga de la página web de ATM;
2/8/2021 18:12:53;SI;NO;NO;Poco satisfactoria;Buena;Entrega en su domicilio real;
2/8/2021 18:24:59;SI;SI;SI;Muy satisfactoria;Muy Buena;Recepción por correo electrónico;
2/8/2021 18:37:16;SI;SI;SI;Satisfactoria;Muy Buena;Descarga de la página web de ATM;
2/8/2021 18:51:05;SI;SI;SI;Muy satisfactoria;Muy Buena;Descarga de la página web de ATM;
2/8/2021 19:23:47;SI;SI;SI;Muy satisfactoria;Muy Buena;Descarga de la página web de ATM;
2/8/2021 19:31:39;SI;SI;SI;Poco satisfactoria;Buena;Descarga de la página web de ATM;
2/8/2021 20:12:54;SI;SI;SI;Satisfactoria;Buena;Descarga de la página web de ATM;Al principio no me resultó simple, luego de varios intentos lo logré. Sugerencia : el sellado es carísimo para vivienda, debería ser  más accesible. 
2/8/2021 20:14:15;SI;SI;SI;Satisfactoria;Muy Buena;Descarga de la página web de ATM;
2/8/2021 21:37:51;NO;SI;NO;Satisfactoria;Buena;Descarga de la página web de ATM;seria bueno que sean mas claras las posibilidades de poder ver deudas y realizar plan de pago. no utilizo la tecnologia, es mas no la entiendo. siempre necesito de ayuda de alguien para poder ver mis comprobantes. gracias
2/8/2021 22:47:54;SI;SI;SI;Muy satisfactoria;Muy Buena;Descarga de la página web de ATM;
2/8/2021 22:54:47;SI;SI;SI;Satisfactoria;Buena;Descarga de la página web de ATM;
2/8/2021 22:54:59;SI;SI;NO;Poco satisfactoria;Regular;Descarga de la página web de ATM;tengo dinero a favor y otro a abonar y no hay forma de emparejarlo. 
2/9/2021 3:42:17;SI;SI;SI;Satisfactoria;Buena;Descarga de la página web de ATM;
2/9/2021 9:19:04;SI;SI;SI;Muy satisfactoria;Muy Buena;Descarga de la página web de ATM;
2/9/2021 9:40:09;SI;SI;SI;Satisfactoria;Buena;Descarga de la página web de ATM;
2/9/2021 10:05:25;SI;SI;SI;Satisfactoria;Buena;Descarga de la página web de ATM;ULTIMAMENTE ESTA MUCHO TIEMPO EN MANTENIMIENTO LA PAGINA ESPECIALMENTE EN LAS FECHA DE VTOS
2/9/2021 10:16:26;SI;SI;SI;Muy satisfactoria;Muy Buena;Descarga de la página web de ATM;
2/9/2021 10:26:45;SI;SI;SI;Muy satisfactoria;Muy Buena;Descarga de la página web de ATM;
2/9/2021 10:27:47;SI;SI;SI;Satisfactoria;Muy Buena;Descarga de la página web de ATM;
2/9/2021 10:41:55;SI;SI;SI;Satisfactoria;Buena;Descarga de la página web de ATM;
2/9/2021 10:42:55;SI;SI;SI;Satisfactoria;Buena;Descarga de la página web de ATM;
2/9/2021 10:45:04;SI;SI;NO;Satisfactoria;Regular;No pago porque no soy propietaria;
2/9/2021 10:56:56;SI;SI;NO;Poco satisfactoria;Buena;Descarga de la página web de ATM;No es clara la paǵina en cuanto a realizar ciertos trámites. Está llena de términos contables que el común de la gente no maneja. En mi caso pagué dos veces una cuota de un plan de pago del impuesto automotor y realicé el trámite de acuerdo a lo que me pareció correcto. Sería genial que existiera documentación sobre los procedimientos a seguir.
2/9/2021 10:59:43;SI;SI;SI;Muy satisfactoria;Muy Buena;Descarga de la página web de ATM;
2/9/2021 11:25:52;SI;SI;NO;Satisfactoria;Muy Buena;Descarga de la página web de ATM;Si bien el sistema de trámites online ha resuelto problemas, la página es muy confusa a la hora de consultar los expedientes.
2/9/2021 11:31:10;SI;SI;NO;Satisfactoria;Regular;Soy contribuyente de CM;
2/9/2021 11:38:17;NO;SI;NO;Satisfactoria;Buena;Recepción por correo electrónico;
2/9/2021 11:57:40;SI;SI;SI;Poco satisfactoria;Muy Buena;Descarga de la página web de ATM;Muy extenso el tiempo para que se resuelva un tramite, por ejemplo sellado de un documento de licitación, se pueden perder trabajos por esta demora.
2/9/2021 12:53:09;SI;SI;SI;Muy satisfactoria;Muy Buena;Descarga de la página web de ATM;
2/9/2021 13:01:57;SI;SI;SI;Satisfactoria;Muy Buena;Descarga de la página web de ATM;
2/9/2021 13:32:44;NO;SI;SI;Poco satisfactoria;Regular;Voy a ATM porque no me llega;
2/9/2021 13:59:37;SI;SI;SI;Poco satisfactoria;Buena;Descarga de la página web de ATM;
2/9/2021 14:05:34;SI;SI;SI;Satisfactoria;Buena;Descarga de la página web de ATM;
2/9/2021 14:36:23;SI;SI;SI;Satisfactoria;Muy Buena;Descarga de la página web de ATM;"he tenido problemas por 1ra vez este año para el sellado de un contrato de locaciòn con el Estado (Municipalidad de Guaymallen) Me envìan x email con el siguiente mensaje que no lo considero claro: ""Se genero la tarea Observa: Tema: Solicitud de Sellado del trámite: EE-4076-2021 Genus, que deberá ser resuelta por Usted"". A continuación intenté resolverlo pero fracasé, con lo cual luego de casi 1 mes lo vuelvo a realizar (PD: en principio pensè que el error mìo fue haber adjuntado archivos .jpg. Entonces dìas despuès de deducir esto adjuntè los mismos documentos en .PDF Pero al dìa de hoy aparece el mismo cartel de OBSERVA. Por lo tanto he resuelto empezar desde CERO con el mismo trámite. slds cordiales
"
2/9/2021 14:46:47;SI;SI;SI;Satisfactoria;Buena;Descarga de la página web de ATM;
2/9/2021 15:57:28;NO;SI;SI;Satisfactoria;Buena;Descarga de la página web de ATM;
2/9/2021 16:16:30;SI;SI;SI;Muy satisfactoria;Muy Buena;Descarga de la página web de ATM;
2/9/2021 17:13:58;SI;SI;SI;Satisfactoria;Buena;Descarga de la página web de ATM;
2/9/2021 18:14:40;NO;SI;SI;Poco satisfactoria;Buena;Entrega en su domicilio real;
2/9/2021 18:18:52;SI;SI;SI;Satisfactoria;Buena;Descarga de la página web de ATM;
2/9/2021 18:55:13;SI;NO;NO;Satisfactoria;Regular;Entrega en su domicilio real;
2/9/2021 19:47:56;SI;SI;NO;Satisfactoria;Buena;Descarga de la página web de ATM;El instructivo de la pagina de Sellados es incompleto o responde a una pagina que ya ha sido cambiada
2/9/2021 19:49:46;SI;NO;SI;Satisfactoria;Regular;Descarga de la página web de ATM;
2/9/2021 19:54:15;SI;SI;SI;Satisfactoria;Buena;Descarga de la página web de ATM;quisiera recibir los boletos por mail
2/9/2021 21:44:37;NO;SI;SI;Satisfactoria;Buena;Descarga de la página web de ATM;
2/9/2021 22:37:51;NO;SI;SI;Satisfactoria;Buena;Descarga de la página web de ATM;
2/10/2021 8:09:54;SI;SI;NO;Satisfactoria;Regular;bolsa de comercio;
2/10/2021 8:59:24;SI;SI;SI;Muy satisfactoria;Muy Buena;Descarga de la página web de ATM;
2/10/2021 9:30:50;NO;SI;SI;Satisfactoria;Buena;Recepción por correo electrónico;
2/10/2021 9:50:17;SI;SI;SI;Muy satisfactoria;Buena;Descarga de la página web de ATM;informar telefonos habilitados para catastro  y avaluos para sellos para consultas urgentes ya que el tramite on line demora varios dias  tel 148  interno 1 siempre esta ocupado 
2/10/2021 10:18:20;SI;SI;SI;Satisfactoria;Buena;Descarga de la página web de ATM;"Una vez que el expediente queda en manos del inspector, ya no se puede agregar nada por cuanto el expediente puede ""dormir"" sin que se nos brinde una respuesta."
2/10/2021 10:40:38;SI;NO;NO;Satisfactoria;Regular;Descarga de la página web de ATM;Cuesta mucho encontrar lo que se busca, debería ser más clara y accesible la página
2/10/2021 11:21:20;SI;NO;SI;Satisfactoria;Buena;Descarga de la página web de ATM;muy costoso consegui las certificaciones
2/10/2021 11:37:39;SI;SI;SI;Poco satisfactoria;Muy Buena;Descarga de la página web de ATM;
2/10/2021 11:40:55;SI;SI;SI;Satisfactoria;Muy Buena;Descarga de la página web de ATM;
2/10/2021 11:46:17;SI;SI;SI;Muy satisfactoria;Muy Buena;Descarga de la página web de ATM;
2/10/2021 12:01:26;SI;SI;NO;Satisfactoria;Buena;Descarga de la página web de ATM;
2/10/2021 12:13:27;NO;SI;SI;Poco satisfactoria;Buena;Descarga de la página web de ATM;
2/10/2021 13:12:40;SI;SI;SI;Satisfactoria;Muy Buena;Recepción por correo electrónico;
2/10/2021 13:20:49;SI;SI;SI;Poco satisfactoria;Buena;Descarga de la página web de ATM;
2/10/2021 13:21:19;SI;SI;SI;Nada satisfactoria;Regular;Descarga de la página web de ATM;mi trámite fue cursado tal que no sé si será resuelto  y la pregunta 4 no lo prevé. Por eso indico nada satisfactoria
2/10/2021 13:42:49;SI;NO;SI;Poco satisfactoria;Mala;Descarga de la página web de ATM;No es posible la comunicación de pasos a seguir o requisitos de tramites.
2/10/2021 13:50:43;SI;SI;SI;Nada satisfactoria;Mala;Descarga de la página web de ATM;QUE PORFAVOR REVISEN SUS REGISTROS POR QUE FIGURAN DEUDAS QUE NO EXISTEN
2/10/2021 14:18:29;SI;SI;NO;Nada satisfactoria;Regular;Descarga de la página web de ATM;son unos caraduras el aumento para 2021. 
2/10/2021 14:41:40;SI;SI;SI;Nada satisfactoria;Regular;Descarga de la página web de ATM;El personal administrativo, no se encuentra capacitado para atención mediante ventanilla, como así tampoco lo están en el sector remoto (online), toda vez que no resuelven las consultas, sino que las archivan sin dar solución.-
2/10/2021 14:47:22;SI;SI;SI;Poco satisfactoria;Buena;Descarga de la página web de ATM;Es demasiada básica la pagina y no se puede realizar ninguna corrección en mis tramites on line o  hacer algun comentario o pregunta a la persona que debe resolver
2/10/2021 16:00:10;NO;SI;SI;Satisfactoria;Muy Buena;Entrega en su domicilio real;
2/10/2021 17:00:12;SI;SI;SI;Satisfactoria;Buena;Recepción por correo electrónico;
2/10/2021 17:07:14;SI;NO;SI;Satisfactoria;Buena;Recepción por correo electrónico;
